,WkD,Comment,Cost,Ppl,地点,天气,体重,Keyword,Food,移动
1/1/2019,2,"1.休养肠胃,最近屁臭,1221和1215号在顺德和广州吃多坏了肠胃,现在以休息为主.吃一些好消化的东西.朝鲜族的咸菜容易造成大肠癌,不要多吃. 微信上:免费送迷你仓的移动暖气.试水+利益驱动一下+开始清空迷你仓. 要懂得欲取先与. Social proof对很多人都很重要,所以才有假排队.Say something that make people feel special.(use reciprocity to your advantage) Get people to agree to a small request and ask.(get commitment).&& 日常就是集中精力学习,学语言:要勤造句,要勤运用,勤写作.学各种语言没坏处.没事就是学语言.自己这方面有优势,也有兴趣,最开心的时候都是和语言有关(incentive),在英国和老李,在日语课上讲到泰国人. In lineup有法语,西班牙,葡萄牙和意大利语,德语,俄语.流水不腐,不断学习,写作造句.西班牙和葡萄牙是一定要掌握的,因为美国很多老墨,以后要用到他们. &&晚上吃的黄瓜+鸡蛋酱.健康好吃. 以后可以多吃. &&第一天吃的烤鸡排,也不错. ",0,self,sz,10度,,,,
1/2/2019,3,"中午和wayne吃的bunker,烤牛肉套餐,煎饺,石锅饭(172).然后去东海散步,东海城市广场(前张五常饭店)太平洋电影院看的Thugs of Hindostan(65).2个多小时,wayne付停车费(35).然后送wayne去了深圳湾一号.字里行间透露出对财富的崇拜和对深圳湾一号的羡慕.典型深圳价值观.我并不感兴趣,这就是价值观的冲撞.我对住的地方不感兴趣,那个地方的景色并不好.今天0.8895走了10个. &&开车慢可以提高utility.&&市场跌了不少,我都是short.这个人是江门的,以前也是在温哥华,回来跟wayne他们认识.远离这些土鳖.(1.16补:这天是感冒的开始)",237,wayne,sz,10,,,,
1/3/2019,4,"Aapl跌8%,拖累ptf,不反dev加仓是这段时间最重要的研究成果. 嗓子还是疼.2点多到4点多总结.1.多喝水 2.能慢不快 3.每天打坐时间半小时 4.能少吃不多吃,不吃到饱 5.保护嗓子,不要喊叫 6.不吃辣的 7.减低用眼时间. 深圳: 把人往负面的方向推. 昨天送W到深圳湾一号:对钱,对住房的畸形崇拜,对学习没兴趣,没精神内核,做不到真正的开心,是基于虚的市场波动的开心.没有真正理解市场,还在瞎扑腾,并没活明白.看一个人真正爱好是看他在什么上花钱.交往要慢,感情要一点点培养,升温,不能急.larry:14 15年狂妄自大,现在渐渐压力增大,不出来得瑟了. 这些都是以前的朋友,变化都是负面的.都变得只看重钱,崇拜富豪.这是城市带给人的负面影响.  &&更新花旗信用卡,截止日期到2024年1月3号,5年有效期. Kelly公司地址SUITE 2602 26/F AXA TOWER LANDMARK 100 HOW MING ST KWUN TONG KOWLOON HONG KONG. &&中午面点王(32) &&past events are not reliable indicators of the future.",32,self,sz,,,,,
1/4/2019,5,"稍微感冒.早晨去了walmart买了鸡肉,在做鸡汤(150). 生活的秘诀是慢, 大部分时候慢就是快, 给就是取, 软就是生.慢,别人反而都会让道, 一快,反而大家都会tax你的精气神.打卡结束,可以稍微休息.日语进行的也不错. &&下午,还是感冒中.打喷嚏.注意休息. 补充VC.市场大涨,很多超过yOpen,要转换做多.前几天精神都很紧张,一直在学东西,这样也降低了抵抗力. 接下来的生活目标,哪里能长期安定下来,就去哪里. 最近几年,在深圳身体差了很多.17年夏天咳嗽,肺做ct.总体感觉很不对,所以想换个地方.海南各方面感觉不错,要不是天天被磨叽,到那边生活可以.跟在温哥华生活差不多.将来灵活一点,四处走一走.这地方的教育不行.把保险改成全球的.走的差不多就走人.毕竟走姿开始就是投名状.",155,self,sz,感冒,,,,
1/5/2019,6,"Things to look for when relocating. 1.money values(晒红包的,过生日发红包的,红包culture ->bad,崇拜有钱人并叫爹的) 2.genera atmosphere lrelaxed and happy 3.骗子多不多 4.人是否单纯. &&预防感冒: 1.保持脚热. 热量流失很容易感冒. 2.睡眠 3.蜂蜜+姜蒜+柠檬 && 在国内3年多,各种被骗/套路.",0,self,sz,感冒,,,,
1/6/2019,7,"今天起床感冒稍微好转.1.不要吃太多,fasting可以清理身体. 2.多睡觉+喝水 3.start day with protein(2 eggwhites) 4.每天吃一瓣蒜 5.蜂蜜 6.turmeric 7.水里放柠檬增加VC 8.冥想 9.保护脖子和脚,确保热的 10.回家第一件事洗手,不要摸脸 10.头冷脚热 11.每餐不超过8成饱 12.椰子 13.All diseases begin with gut,严加注意饮食 14.饿了先喝水,不要吃东西 15.戒糖分摄入(戒冰棍,糖,可乐雪碧).16.蔬菜水果herb占大头 17.蓝莓 18.每天晒太阳. && 生病原因: 1.不洗手 2.喝水少,要至少增加一倍饮水量 3.吃的太多,肠胃负担大(臭屁,说明胃肠食物残留),没有detox时间 4.不喜欢吃蒜/蒜苔 5.12月23脖子着凉,当天一直在保护脖子&&楼上净化器要换成新的夏普G50.大量喝水.吹铜管乐器,增加气流流通.枕边易经.减少在地铁里和在公共场合的时间.保护脖子和脚踝,防邪风. &&中午吃的骨头汤. 里面加的葱姜,喝的时候放的蒜(切成片氧化一会),杀菌.午时洗澡.骨头汤喝着很舒服.少油.少吃炸炒物. 一天吃一餐,中午吃,晚上清淡沙拉和fruit,以前在香港吃的太多,消化不了,长期胃肠受损,前几天在顺德和广州吃多,一直没消化干净,在肠里腐烂.身体需要时间去detox,持续不断给身体食物让消化负担很重.沃尔玛(120)买的龙骨,萝卜(冬吃萝卜).You have to do a lot of things correctly. ",120,self,sz,,,,,
1/7/2019,1,"1.把现有的牌打好.2.名和实的建设.在HK在弄投资方面的创业公司.做期货股票.3个人. 3.保暖,尤其是腿脚和脖子 4.多喝水,至少以前的3倍.以后上课买1.5L的水,水喝的不够会降低抵抗力 5.注意洗手,不要摸脸.  6.每天一瓣蒜,杀菌 7.除了三文鱼远离海产品,尤其虾,贝. 8.一周至少喝一次骨头汤.9.屁臭成因是肠胃里的东西没消化干净,解决方法是断食,给身体足够的时间去detox.晚饭要减量.在家里消化好的原因是晚上喝粥,好消化,所以胃里没有残留.&& 要知周围人的情绪撬动点是哪,了解一个人的驱动点就掌控了一个人.wayne上周末很兴奋,因为中国逆美国大跌走出大涨行情(实际是降准泄露),这种兴奋非出自幸福感,而是短期不可持续的开心.开心点在于当天是否赚钱,而没有意识到:真正重要的是方法正确,当天的得失对自己影响越小越好,因为跟扔硬币一样.用概率思想看问题,不看重任何一次输赢,只在乎长期是否处于正确概率的一边.例如,自己处于学语言的环境,在概率上已经赢了,搞砸一两个关系+C6无所谓(又比如看直播,对方要骗钱,期望有好结果本身就败了).看事情不要关注一个点, 而要关注有多少流入流出,趋势,概率,环境,可持续性,优势.不注重任何个体事件.看事情看大面.胜者站在大概率的一边,君子不立危墙之下.狡兔三窟,预防尾部风险.万事概率思维,开源拓展,宏观思维.不在意独立事件.发生个体事件:以不变应万变,神色如一.不动声色,不露喜怒.不把自己往死胡同里推,保持资金充裕,不负债,永远轻轻松松,不纳投名状(买房买地),不做任何承诺,万事留余地,圆滑,借口,缓势,拖延,后图.八面玲珑,不透露行程.把语言都学好,傍身技能,这个能力哪里都有用,这个能力比别人强一大块.花精力去打磨自己最大优势,不浪费时间做不擅长的事.&&东方财富的新闻long bias极重,没有新闻价值,洗脑散户用的.做多他们才能赚钱,要知道其incentive,就知道其新闻不可信.&&早晨吃了两个鸡蛋,无carb,非常好,以后早晨吃protein.&&椰汁糖多,不要喝.&&昨天walmart又有人撞我(14年hk百佳被撞,17年底hk地铁被撞),社会怨气大,通过独立事件看大局,对于独立事件不react,无意义归因于任何独立个体;抽烟的人代表人口结构老,素质低.两个人的互动普遍反映了整个社会的情绪状态,互信程度,礼节.",0,self,sz,,,余地,,
1/8/2019,2,"星期二,刚起床.温哥华计划:1.先买车(X5) 2.不断换airbnb house居住,最好在ubc旁边,每个地方住1个月左右.3.冬天在CA周边城市,循环居住,探寻好的地方.考察好的投资地产和别的项目.大学旁边/富人区/治安好的地方.House里的一个房间,或者是APT里的一个房间(但这样没有车位).这样可以认识很多人.3.韩国教会,认识一些韩国人,融入圈子. &&chen比较靠谱,随叫随时,要reward这种靠谱的行为.靠下意识决定是否靠谱.人都在不断变化,不give benefit of the doubt,如今因为在不同地方生活,信息不对称,不知道思想变化,没有意义陪着思想落后的人找人生方向.有些人会进入误区,盲目自大,或盲目悲观,有些人接人待物有问题.有些人生活习惯不健康,喝酒,晚睡,有些人价值观出了问题,晒红包,礼物等.冷眼旁观在人生路上没活明白的人,保持一定距离.中午把上周买的龙骨吃掉.又走了100k.走完了以后,去加拿大住airbnb,考察各区各地情况.&&晚上吃土豆泥和粟米棒.这两个不是炸的,相对健康.",20,self,,,,,,
1/9/2019,3,"归集资金.早起吃蛋白.少吃carbs.增加饮水量. 煮土豆和yam入diet.刚开年,不断观察.建立全面screener,% days above/below open.跟人来往先端架子,不亲近,保持距离,尤其长时间不接触的人.不要做白日梦,小概率事件不足恃,可以归类为骗.对极端风险,尾部情况做好准备.凡事做最坏打算.不指望人不我畔,而恃我之不可畔.不指望政局不动荡,而恃己之资产安全,未雨绸缪.要有强烈的忧患意识,居安思危,以史鉴今,政治成熟.把必须做的事情迟早做,例如安居.要了解历史上政权的不稳定性.计划要周全,不能一厢情愿,也不能相信小概率事件.&&不求虚名,只求实利.天恩难测,惟实力可恃.&&饮食:戒糖,吃水果,肉,蛋白质.&&吃的和心情直接相关,all disease begins in the guts.在嘉旺吃的黑椒鸡排+奶茶,糖超标,鸡排是炸的,咖啡因刺激神经&& People love sugar(quick satisfaction),ceril早餐吃蛋糕,dunkin donuts.对面的client service下午都吃糖,累的时候吃糖马上就会得到立即的能量提升.人只在意短期满足而不是长期.所以用咖啡和糖来刺激大脑.糖造成血糖波动,影响情绪.&&早茶的地方少吃米饭/肠粉,而吃肉和蛋白,不要吃到撑.前段时间消化出了问题(今天消化不错,没问题).&& 华人由于饮食习惯和历史贫困,吃主食多,面多.这种high carb造成血糖波动,对情绪副作用极大.厂家利用人的短期满足追求来卖糖.这是个万亿industry.&&cut social media addiction.(wechat,weibo) &&上午去walmart买鸡腿.停车场,一个疯婆娘倒车根本不看倒镜,差点被撞到,一旦被撞到损失时间和钱,中国人有车的时间短,不会开,也没有交通意识.吸烟+素质问题,远离.现在在国内属于退步,没有利用我的best alternative.靠污染环境发展经济,交通堵塞,关注饮食健康的人少.野蛮发展,缺少远见.个体迅速膨胀,素质低,互信差.频繁装修(噪音污染),外部不停改造(修路,拆桥,一刻不停) &&今天感觉身体比较弱.",120,self,,,,,,
1/10/2019,4,"昨天9点睡到早晨7点,保持充足睡眠很重要.昨天韩语学的有进步,听力有进步.方法是先慢听iyagi series, 0.5x速度,学习所有单词,然后加快速度,直到全部听懂为止.wechat时间控制在晚上,晚六点之前不接受发送任何信息.没有basis.晚上9点睡觉,好处颇多.不断自我洗脑,用incentive机制不断激励自己前行.&&这段时间语言水平进步颇快,达到了要求,要继续保持这种.日语每天的听力帮助很大,以前的韩文打卡也很有帮助.每天背单词,听力,之类.糖类都用水果补充.利用看自己有兴趣的东西学习语言,语言掌握越多生活的utility越高,可以胜过在不同的世界.&&关注健康相关事情.这几天生病获得的新知识包括,少吃主食(已经减肥了).蛋白质和脂肪代替碳水.&&语言主要练读和听.&&Affordability,society has to afford your choices. 中国社会没法支撑上层对食品安全的需求,大多数人还没有钱到还没到在意这个的程度.大部分人都go for short term satisfaction->crave sugar,公司为了盈利,没有incentive lower sugar.政府为了收税,也因为拿了食品行业的钱也不不会有做为,导致大量的食品含糖超标,因为卖的好.麦当劳,可乐这些垃圾食品公司长期赚钱,人们吃了垃圾食品会导致糖尿病和各种健康问题,可是政府毫无作为.&& Medicine&food are big industries.&&医生的厚黑学.医生只锯箭不取箭,不完全治病才会一直有用.&& 阶段性走姿结束.走了150左右,168左右的港币.这些港币要全部美金化wash.上午去blt买的澳洲牛排和鸡蛋(70)中午吃的炒牛肉+水煮西兰花.严防H中国询问汇款原因.大陆:说还钱给朋友,朋友指定的账户,不认识是谁,如果问朋友在哪?在香港,然后让H给于先生打电话,说暂时没有他的电话(拖时间).然后跟于通气.严防香港H询问收款原因:说朋友还钱.汇丰深圳现在有一定风险,因为4天走了45个.每天在上面要有消费(施小信而大诈逞),这一段先结束.下一步是变美金.",70,self,sz,20,,,,
